time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.setpoint
2020/11/26/18:34:20.354957,72,1606412060,354594945,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.374808,73,1606412060,374567031,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.395006,74,1606412060,394634962,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.414875,75,1606412060,414593935,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.434917,76,1606412060,434639930,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.454983,77,1606412060,454660892,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.474894,78,1606412060,474591970,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.494920,79,1606412060,494585037,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.514907,80,1606412060,514602899,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.534828,81,1606412060,534590005,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.554894,82,1606412060,554574966,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.574990,83,1606412060,574615955,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.594814,84,1606412060,594578027,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.614887,85,1606412060,614584922,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.635010,86,1606412060,634593009,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.655049,87,1606412060,654683113,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.674956,88,1606412060,674598932,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.694847,89,1606412060,694591045,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.714930,90,1606412060,714601993,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.734877,91,1606412060,734586954,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.757370,92,1606412060,757070064,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.774868,93,1606412060,774633884,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.794826,94,1606412060,794575929,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.814943,95,1606412060,814637899,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.834810,96,1606412060,834589004,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.854924,97,1606412060,854581117,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.874883,98,1606412060,874640941,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.894951,99,1606412060,894582986,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.914805,100,1606412060,914563894,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.934935,101,1606412060,934626102,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.954936,102,1606412060,954580068,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.974966,103,1606412060,974580049,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:20.994850,104,1606412060,994591951,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.014937,105,1606412061,14586925,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.034982,106,1606412061,34580945,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.054869,107,1606412061,54596900,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.075011,108,1606412061,74584007,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.094941,109,1606412061,94679117,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.114922,110,1606412061,114584922,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.134950,111,1606412061,134567022,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.154874,112,1606412061,154594898,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.174829,113,1606412061,174582004,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.194911,114,1606412061,194596052,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.214842,115,1606412061,214586973,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.234844,116,1606412061,234565973,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.254897,117,1606412061,254590034,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.274911,118,1606412061,274591922,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.294873,119,1606412061,294585943,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.314929,120,1606412061,314626932,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.334880,121,1606412061,334572076,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.354822,122,1606412061,354577064,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.374885,123,1606412061,374628067,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.395069,124,1606412061,394593954,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.414860,125,1606412061,414592027,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.434951,126,1606412061,434626102,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.454819,127,1606412061,454591035,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
